NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,straw
AL,0.0,0.0,10.0368,32.0688,,66.03737142857143,98.4096
AT,,,,,,348.03,
AT11,33.6348,4.0374,10.926,19.8648,0.5256,35.2266,179.4204
AT12,33.3684,4.7088,10.926,42.1632,0.5256,35.3754,170.9208
AT13,33.6564,0.0,10.1988,19.8792,0.5256,35.0688,0.0
AT21,33.624,4.598999999999999,10.926,19.8828,0.5256,36.6834,178.8552
AT22,33.4944,8.8164,10.926,43.4052,0.5256,35.6736,234.324
AT31,33.422399999999996,4.365,10.926,42.832800000000006,0.5256,36.419999999999995,166.5756
AT32,33.74640000000001,4.2678,10.926,19.9008,0.5256,36.9048,150.9984
AT33,33.858000000000004,4.1202000000000005,10.926,19.8648,0.5256,38.4996,127.2924
AT34,33.5844,3.8664000000000005,10.926,19.2888,0.5256,32.5836,129.52439999999999
BA,0.0,0.0,10.0368,32.0688,0.5256,66.18548571428572,80.3952
BE,,,,,,354.6936,
BE10,33.7824,0.0,10.1988,16.7544,0.1728,35.528400000000005,0.0
BE19,,7.5204,,,,,62.8128
BE21,34.1892,4.0680000000000005,10.926,43.711200000000005,0.1728,37.9878,107.1324
BE22,34.1856,4.066199999999999,10.926,44.38080000000001,0.1728,37.3842,108.6156
BE23,34.1892,4.066199999999999,10.926,43.1892,0.1728,37.3044,108.1224
BE24,34.3512,4.1058,10.926,46.245599999999996,0.1728,36.5454,106.956
BE25,34.1928,3.8880000000000003,10.926,43.2216,0.1728,36.8442,111.69
BE31,34.11,3.906,9.8856,46.3896,0.1728,36.7932,110.16720000000001
BE32,34.2036,4.0698,9.8856,43.2324,0.1728,36.6546,116.0172
BE33,34.2072,4.7916,9.8856,44.3412,0.1728,36.793800000000005,112.64040000000001
BE34,34.182,5.3262,9.8856,43.394400000000005,0.1728,37.12380000000001,116.59320000000001
BE35,34.272000000000006,4.4496,9.8856,44.3664,0.1728,36.7134,111.09960000000001
BG,,,,,,330.21,
BG31,21.762,3.15,9.558,18.3888,0.0,29.145000000000007,75.4452
BG32,21.7476,2.9664,10.1088,31.0716,0.0,29.856000000000005,65.1348
BG33,21.7476,2.9682,10.1088,31.0212,0.0,30.376800000000003,64.8612
BG34,21.754800000000003,3.3282,10.1088,31.247999999999998,0.0,29.1198,64.2744
